"filename", "language", "Markdown", "JavaScript", "JSON", "CSV", "HTML", "MS SQL", "XML", "PostCSS", "YAML", "comment", "blank", "total"
"c:\dev\tickets-new\supabase\database\13_cleanup_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 4, 15
"c:\dev\tickets-new\supabase\database\14_create_audit_logs.sql", "MS SQL", 0, 0, 0, 0, 0, 58, 0, 0, 0, 7, 11, 76
"c:\dev\tickets-new\supabase\database\15_add_is_error_to_audit_logs.sql", "MS SQL", 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 8, 51
"c:\dev\tickets-new\supabase\database\16_refine_is_error_logic.sql", "MS SQL", 0, 0, 0, 0, 0, 53, 0, 0, 0, 9, 8, 70
"c:\dev\tickets-new\supabase\database\17_optimize_audit_logs_db.sql", "MS SQL", 0, 0, 0, 0, 0, 32, 0, 0, 0, 9, 9, 50
"c:\dev\tickets-new\supabase\database\18_secure_admin_rpc_permissions.sql", "MS SQL", 0, 0, 0, 0, 0, 20, 0, 0, 0, 8, 6, 34
"c:\dev\tickets-new\supabase\database\nazuna-kunieda.sql", "MS SQL", 0, 0, 0, 0, 0, 410, 0, 0, 0, 57, 60, 527
"c:\dev\tickets-new\supabase\database\refactor-master-data.sql", "MS SQL", 0, 0, 0, 0, 0, 51, 0, 0, 0, 14, 10, 75
"c:\dev\tickets-new\supabase\database\reservation-feature.sql", "MS SQL", 0, 0, 0, 0, 0, 305, 0, 0, 0, 64, 55, 424
"c:\dev\tickets-new\supabase\database\supabase-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 410, 0, 0, 0, 57, 60, 527
"c:\dev\tickets-new\supabase\migrations\20260228000000_delete_s14_s25_seats.sql", "MS SQL", 0, 0, 0, 0, 0, 34, 0, 0, 0, 8, 5, 47
"c:\dev\tickets-new\supabase\migrations\20260228004340_add_realtime_publication.sql", "MS SQL", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\dev\tickets-new\supabase\migrations\20260228073917_fix_reservation_race_condition.sql", "MS SQL", 0, 0, 0, 0, 0, 73, 0, 0, 0, 9, 10, 92
"c:\dev\tickets-new\supabase\migrations\20260301000000_cleanup_orphaned_seats.sql", "MS SQL", 0, 0, 0, 0, 0, 7, 0, 0, 0, 11, 7, 25
"c:\dev\tickets-new\supabase\migrations\20260315000000_fix_s_seats_rpc_and_data.sql", "MS SQL", 0, 0, 0, 0, 0, 71, 0, 0, 0, 17, 5, 93
"c:\dev\tickets-new\sw.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 0, 0, 28, 18, 230
"c:\dev\tickets-new\test-audit-csv\audit_logs_2026-05-21T13-29-09.csv", "CSV", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 101
"c:\dev\tickets-new\test-audit-csv\audit_logs_2026-05-21T13-35-16.csv", "CSV", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 101
"c:\dev\tickets-new\test-audit-csv\audit_logs_2026-05-21T13-39-59.csv", "CSV", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 101
"c:\dev\tickets-new\test-audit-csv\audit_logs_2026-05-21T17-30-12.csv", "CSV", 0, 0, 0, 1144, 0, 0, 0, 0, 0, 0, 0, 1144
"Total", "-", 870, 23378, 104, 1447, 4633, 1849, 9, 5992, 31, 4308, 6239, 48860
