"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "MS SQL", "CSS", "YAML", "comment", "blank", "total"
"c:\dev\tickets-new\supabase\database\05_update_rpc_admin_booking.sql", "MS SQL", 0, 0, 0, 0, 0, 47, 0, 0, 11, 7, 65
"c:\dev\tickets-new\supabase\database\06_secure_rpc.sql", "MS SQL", 0, 0, 0, 0, 0, 37, 0, 0, 15, 7, 59
"c:\dev\tickets-new\supabase\database\07_fix_ambiguous_rpc.sql", "MS SQL", 0, 0, 0, 0, 0, 1, 0, 0, 9, 3, 13
"c:\dev\tickets-new\supabase\database\07_secure_settings_rls.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 9, 5, 16
"c:\dev\tickets-new\supabase\database\08_create_reservation_rpc.sql", "MS SQL", 0, 0, 0, 0, 0, 73, 0, 0, 9, 10, 92
"c:\dev\tickets-new\supabase\database\08_optimize_indices.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 5, 3, 10
"c:\dev\tickets-new\supabase\database\09_add_bypass_token.sql", "MS SQL", 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"c:\dev\tickets-new\supabase\database\11_create_booking_events.sql", "MS SQL", 0, 0, 0, 0, 0, 63, 0, 0, 22, 18, 103
"c:\dev\tickets-new\supabase\database\12_secure_settings.sql", "MS SQL", 0, 0, 0, 0, 0, 11, 0, 0, 12, 5, 28
"c:\dev\tickets-new\supabase\database\13_cleanup_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 4, 0, 0, 7, 4, 15
"c:\dev\tickets-new\supabase\database\nazuna-kunieda.sql", "MS SQL", 0, 0, 0, 0, 0, 410, 0, 0, 57, 60, 527
"c:\dev\tickets-new\supabase\database\refactor-master-data.sql", "MS SQL", 0, 0, 0, 0, 0, 51, 0, 0, 14, 10, 75
"c:\dev\tickets-new\supabase\database\reservation-feature.sql", "MS SQL", 0, 0, 0, 0, 0, 305, 0, 0, 64, 55, 424
"c:\dev\tickets-new\supabase\database\supabase-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 410, 0, 0, 57, 60, 527
"c:\dev\tickets-new\supabase\migrations\20260228000000_delete_s14_s25_seats.sql", "MS SQL", 0, 0, 0, 0, 0, 34, 0, 0, 8, 5, 47
"c:\dev\tickets-new\supabase\migrations\20260228004340_add_realtime_publication.sql", "MS SQL", 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\dev\tickets-new\supabase\migrations\20260228073917_fix_reservation_race_condition.sql", "MS SQL", 0, 0, 0, 0, 0, 73, 0, 0, 9, 10, 92
"c:\dev\tickets-new\supabase\migrations\20260301000000_cleanup_orphaned_seats.sql", "MS SQL", 0, 0, 0, 0, 0, 7, 0, 0, 11, 7, 25
"c:\dev\tickets-new\sw.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 0, 27, 18, 223
"Total", "-", 21289, 103, 870, 5914, 9, 1578, 6292, 31, 2964, 6109, 45159
